اسم الملف,معرف الحديث,وقت التوليد (ثانية),توكنز المدخلات,توكنز المخرجات
2658.json,2658,86.33,2230,925
2733.json,2733,74.88,1608,1040
2735.json,2735,42.34,1463,617
2744.json,2744,41.16,2913,815
2752.json,2752,72.74,2064,821
2756.json,2756,47.25,2582,766
2758.json,2758,72.41,1987,662
2763.json,2763,49.69,1566,574
2766.json,2766,56.02,2361,735
2768.json,2768,56.90,1982,647
2769.json,2769,40.13,8797,826
2770.json,2770,46.40,10974,779
2771.json,2771,52.56,1636,606
2772.json,2772,53.60,2308,736
2773.json,2773,55.35,2182,799
2778.json,2778,52.59,3379,876
2781.json,2781,43.42,2711,775
2787.json,2787,43.98,1914,650
2788.json,2788,63.73,2124,695
2790.json,2790,96.72,1306,770
2792.json,2792,65.08,2460,754
2793.json,2793,55.05,1284,568
2794.json,2794,62.56,2066,584
2796.json,2796,44.65,2125,677
2800.json,2800,55.45,1440,675
2802.json,2802,65.96,1392,624
2803.json,2803,36.23,1377,420
2804.json,2804,61.99,1642,680
2806.json,2806,59.96,1621,698
2808.json,2808,77.46,1891,767
2809.json,2809,75.30,1662,810
2810.json,2810,85.49,1655,904
2811.json,2811,61.81,2332,695
2812.json,2812,54.04,1161,546
2813.json,2813,49.37,879,657
2816.json,2816,45.71,1797,637
2817.json,2817,44.61,1720,720
2818.json,2818,55.28,1813,615
2819.json,2819,47.25,1435,667
2820.json,2820,72.59,1457,829
2821.json,2821,46.24,1436,703
2822.json,2822,85.15,1405,747
2824.json,2824,49.78,1783,625
2826.json,2826,55.24,1388,613
2827.json,2827,74.17,1352,572
2828.json,2828,66.93,1361,538
2829.json,2829,48.15,1736,724
2834.json,2834,48.40,1089,791
2835.json,2835,72.87,2081,782
2841.json,2841,70.39,2131,776
2843.json,2843,46.45,1558,613
2846.json,2846,57.97,2081,768
2848.json,2848,43.80,1947,854
2849.json,2849,58.33,2480,768
2850.json,2850,47.13,2237,799
2852.json,2852,52.20,1624,517
2856.json,2856,64.97,2250,790
2857.json,2857,49.42,1358,560
2860.json,2860,38.07,1577,679
2861.json,2861,72.15,1767,848
2862.json,2862,59.80,1537,649
2866.json,2866,50.40,1470,648
2869.json,2869,56.84,1233,666
2870.json,2870,75.04,1621,899
2871.json,2871,54.84,1730,582
2874.json,2874,61.31,2784,659
2875.json,2875,77.14,2610,736
2876.json,2876,79.60,1996,918
2877.json,2877,53.01,1396,621
2879.json,2879,84.40,1399,624
2882.json,2882,56.38,1678,687
2883.json,2883,43.91,1665,800
2884.json,2884,41.09,1748,710
2885.json,2885,33.40,1146,677
2888.json,2888,69.23,1932,667
2889.json,2889,61.80,1345,718
2891.json,2891,49.28,1569,623
2898.json,2898,56.05,2218,866
2902.json,2902,43.97,1573,548
2905.json,2905,51.50,1602,573
2906.json,2906,72.90,1578,694
2908.json,2908,58.42,1482,820
2909.json,2909,59.68,1708,919
2910.json,2910,58.17,1214,632
2912.json,2912,47.51,1609,838
2914.json,2914,86.79,1162,521
2915.json,2915,40.92,2506,701
2916.json,2916,40.85,2415,950
2917.json,2917,57.80,1486,635
2922.json,2922,43.36,1672,747
2924.json,2924,54.75,1088,648
2928.json,2928,104.70,1677,532
2930.json,2930,49.72,1057,473
2931.json,2931,43.96,1242,517
2933.json,2933,61.99,2799,829
2934.json,2934,48.82,2138,785
2935.json,2935,55.96,1628,745
2936.json,2936,49.87,2201,710
2938.json,2938,76.61,3143,954
2939.json,2939,62.68,1772,635
2940.json,2940,39.18,5908,732
2941.json,2941,54.37,2051,700
2942.json,2942,39.03,6687,715
2943.json,2943,44.96,1877,869
2947.json,2947,63.53,2976,700
2950.json,2950,45.07,1433,737
2951.json,2951,34.01,1410,564
2952.json,2952,62.65,1661,742
2955.json,2955,45.99,1714,785
2960.json,2960,25.04,1477,623
2963.json,2963,46.69,1460,577
2964.json,2964,56.06,4739,757
2966.json,2966,40.39,1200,503
2971.json,2971,52.52,1737,816
2975.json,2975,63.89,1441,621
2976.json,2976,46.89,1805,788
2980.json,2980,32.54,1755,775
2986.json,2986,27.67,1752,734
2988.json,2988,52.40,1446,548
2989.json,2989,57.34,2375,862
2990.json,2990,43.94,1490,753
2991.json,2991,35.73,1618,628
2997.json,2997,45.20,1858,708
2998.json,2998,72.10,1554,697
